sample_id	taxon_name	host_family	host_genus	radiation	substrate_type	lifestyle	country	locality	voucher	accession	reference	substrate_notes
P12641	Leptogium_sp	collemataceae	leptogium	no	terricolous	symbiotic	Panama	GoLife Panama-Parida-1-C1-P1	Panama;Parque Nacional Golfo de Chiriqui;Nicolas Magain;Panama		This study	terricolous/on moss on a boulder
P12642	Leptogium_sp	collemataceae	leptogium	no	epiphytic	symbiotic	Panama	GoLife Panama-Gamboa-2-C1-P1	Panama;Parque Nacional Soberania;Nicolas Magain;Panama		This study	
P12646	Leptogium_sp	collemataceae	leptogium	no	epiphytic	symbiotic	Panama	GoLife Panama-Baru-1-C5-P1	Panama;Parque Nacional Volcan Baru;Nicolas Magain;Panama		This study	
P12649	Leptogium_sp	collemataceae	leptogium	no	terricolous	symbiotic	Panama	GoLife Panama-Copete-1-C1-P1	Panama;Parque Nacional Volcan Baru;Lutzoni et al.;Panama		This study	
P12650	Leptogium_sp	collemataceae	leptogium	no	epiphytic	symbiotic	Panama	GoLife Panama-Swampo-1-C1-P1	Panama;Parque Nacional Isla Bastimentos;Nicolas Magain;Panama		This study	
P14213	Lobaria_sp.	lobariaceae	lobaria	yes	epiphytic	symbiotic	South Africa	GoLife SouthAfrica-Buffelskloof-1-P1-C2	South Africa;Buffelskloof;Jolanta Miadlikowska		This study	terricolous/on moss on a log
P14264	Pseudocyphellaria sp.	lobariaceae	pseudocyphellaria	yes	epiphytic	symbiotic	South Africa	GoLife SouthAfrica-Salt River-1-P1-C1	South Africa;Salt River;GoLife		This study	
P14269	Sticta sp.	lobariaceae	sticta	yes	terricolous	symbiotic	South Africa	GoLife SouthAfrica-Buffelskloof-7-P1-C3	South Africa;Buffelskloof;GoLife		This study	terricolous/on a rock with little mosses
P14318	Sticta_sp	lobariaceae	sticta	yes	terricolous	symbiotic	South Africa	GoLife SouthAfrica-Table-1-P1-C1	South Africa;Table;GoLife		This study	terricolous/on a rock with little mosses
P14321	Pseudocyphellaria_sp	lobariaceae	pseudocyphellaria	no	terricolous	symbiotic	South Africa	GoLife SouthAfrica-Table-1-P1-C1	South Africa;Table;GoLife		This study	terricolous/on a rock with little mosses
P1574	Peltigera_dolichorhiza	peltigeraceae	peltigera	no	terricolous	symbiotic	Brazil	Minas gerais	J. Miadlikowska et al. s.n.; CGMS-34450		This study; Magain et al. 2017	
P2037	Peltigera_aubertii	peltigeraceae	peltigera	no	terricolous	symbiotic	Chile	Region XII	Goffinet 10559 (CONN)		This study; Magain et al. 2018	
P2039	Peltigera_sp_14	peltigeraceae	peltigera	no	terricolous	symbiotic	Chile	Region XII	Shaw 17848 (DUKE 0401861)		This study; Magain et al. 2018	
P2081	Peltigera_canina_2	peltigeraceae	peltigera	no	terricolous	symbiotic	United States of America	North Carolina	Hollinger 2731 (UBC)		This study; Magain et al. 2018	
