sample_id	taxon_name	host_family	host_genus	radiation	substrate_type	lifestyle	country	locality	voucher	accession	reference	substrate_notes
P8857	Peltigera_scabrosa_1	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 576	ABMI ID 618295		This study	Upland
P8926	Peltigera_malacea_2	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 83	ABMI ID 58543		This study	Upland
P9119	Peltigera_frippii	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 6	ABMI ID 90575		This study	Rock
P9121	Peltigera_neopolydactyla_1	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 450	ABMI ID 44943		This study	Wetland
P943	Peltigera_extenuata_2	peltigeraceae	peltigera	no	terricolous	symbiotic	Colombia		Lücking 33627 (UDBC)		This study	
P9639	Fuscopannaria_sp	pannariaceae	fuscopannaria	no	terricolous	symbiotic	Canada	ABMI 37	ABMI ID 1260051		This study	
P9728	Peltigera_malacea_2	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 659	ABMI ID 758897		This study	
P9820	Peltigera_canina_2	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 916	ABMI ID 160887		This study	log/stump
P9822	Peltigera_malacea_2	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 941	ABMI ID 251055		This study	Upland
P9895	Nephroma_resupinatum	nephromataceae	nephroma	yes		symbiotic	Canada	ABMI 930	ABMI ID 1388226		This study	log/stump
S1	Pannariaceae	pannariaceae	pannariaceae	no		symbiotic						
S10	Fuscopannaria	pannariaceae	fuscopannaria	yes	epiphytic	symbiotic						
S11	Fuscopannaria	pannariaceae	fuscopannaria	no	epiphytic	symbiotic						
S12	Kroswia	pannariaceae	kroswia	no		symbiotic						
S13	Kroswia	pannariaceae	kroswia	no		symbiotic						
S14	Peltigera_pacifica	peltigeraceae	peltigera	no	terricolous	symbiotic						
S15	Peltigera_pacifica	peltigeraceae	peltigera	no	terricolous	symbiotic						
S16	Peltigera_pacifica	peltigeraceae	peltigera	no	terricolous	symbiotic						
S17	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S18	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S19	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S2	Pannariaceae	pannariaceae	pannariaceae	no		symbiotic						
S20	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S21	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S22	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S23	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S24	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S25	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S26	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S27	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S29	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S3	Pannariaceae	pannariaceae	pannariaceae	no		symbiotic						
S30	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
